Country,GDP,info
Aruba,27665.3,na
Africa Eastern and Southern,1376.64,na
Afghanistan,376.32,na
Africa Western and Central,1421.27,na
Angola,3121.35,na
Albania,3595.04,"Redi Haderi,18,145,Bronze medal;Beniada Shabani,11,293,Honourable mention;Rinald Murataj,8,365,Honourable mention;Andi Reçi,8,365,Honourable mention;Ardit Mucaj,7,402,Honourable mention;Klevis Ymeri,7,402,Honourable mention"
Andorra,50562.83,na
Arab World,5329.58,na
United Arab Emirates,43918.38,na
Argentina,7210.6,"Roberto Aníbal Morales,23,83,Silver medal;Fernando Martín Vidal,15,197,Bronze medal;Pablo Blanc,12,266,Honourable mention;Mauro Schilman,11,293,Honourable mention;Pablo Nicolás Zimmermann,8,365,Honourable mention;Nicolás Rodríguez Castro,6,430,nan"
Armenia,3064.28,"Tigran Sloyan,24,68,Silver medal;Tigran Hakobyan,16,171,Bronze medal;Vardan Verdiyan,9,344,Honourable mention;Artur Darbinyan,8,365,Honourable mention;Emma Hovhannisyan,8,365,Honourable mention;Narek Tovmasyan,8,365,Honourable mention"
American Samoa,9187.17,na
Antigua and Barbuda,16006.14,na
Australia,41051.61,"Matthew Cedric Menzies,28,40,Silver medal;Ildar Maratovich Gaisin,19,133,Bronze medal;Giles Samuel Vernon Gardam,19,133,Bronze medal;Irene Yuan Lo,18,145,Bronze medal;Anthony David Morris,17,161,Bronze medal;Sen Lin,9,344,Honourable mention"
Austria,46915.34,"Yimin Ge,25,65,Silver medal;Philipp Schönbauer,15,197,Bronze medal;Peter Gila,14,226,Bronze medal;Fabian Mayrhuber,14,226,Bronze medal;Carl Georg Heise,6,430,nan;Sara Kropf,6,430,nan"
Azerbaijan,3851.33,"Jafar Jafarov,20,123,Bronze medal;Ruslan Muslumov,16,171,Bronze medal;Elyar Gulamhuseynli,14,226,Bronze medal;Parvin Mirzazada,11,293,Honourable mention;Ilgar Ramazanli,7,402,nan;Sarkhan Badirli,1,482,nan"
Burundi,170.71,na
Belgium,44319.17,"Hoan-Phung Bui,15,197,Bronze medal;Pierre-Alain Jacqmin,15,197,Bronze medal;Guolong Li,14,226,Bronze medal;Anh Khoa Augustin Lu,13,254,Honourable mention;Jan Vonk,13,254,Honourable mention;Christophe Debry,8,365,nan"
Benin,944.64,na
Burkina Faso,516.75,na
Bangladesh,552.34,"Tanvir Ahamed Bhuyain,10,322,Honourable mention;Shouman Das,9,344,Honourable mention;Md Ishat-E-Rabban,7,402,Honourable mention;Tarik Adnan Moon,3,454,nan;Nazia Naser Chowdhury,2,464,nan"
Bulgaria,5888.78,"Deyan Stanislavov Simeonov,31,12,Gold medal;Nikolay Ivanov Beluhov,30,19,Gold medal;Aleksandar Kirilov Daskalov,24,68,Silver medal;Elina Mihaylova Robeva,23,83,Silver medal;Tzvetelina Kirilova Tzeneva,21,110,Silver medal;Dobrin Ruslanov Urumov,20,123,Bronze medal"
Bahrain,20883.55,na
The Bahamas,29687.87,na
Bosnia and Herzegovina,3936.93,"Igor Uljarević,22,93,Silver medal;Harun Šiljak,12,266,Honourable mention;Mehmed Brkić,11,293,Honourable mention;Vedran Karahodžić,9,344,Honourable mention;Irfan Glogić,8,365,Honourable mention;Salem Malikić,7,402,Honourable mention"
Belarus,4735.48,"Artsiom Mitskevich,29,28,Gold medal;Yauheni Zhybryk,22,93,Silver medal;Stanislau Shapavalau,20,123,Bronze medal;Dzianis Pirshtuk,17,161,Bronze medal;Sviatlana Auchynnikava,16,171,Bronze medal;Vadzim Sliusarau,15,197,Bronze medal"
Belize,5717.93,na
Bermuda,104287.39,na
Bolivia,1351.04,"Paola Jimena Ledo Espinoza,1,482,nan;Marcela Katerine Viscarra Agreda,1,482,nan"
Brazil,7323.19,"Régis Prado Barbosa,23,83,Silver medal;Henrique Pondé de Oliveira Pinto,21,110,Silver medal;Ramon Moreira Nunes,19,133,Bronze medal;Rafael Sampaio de Rezende,17,161,Bronze medal;Rafael Tupynambá Dutra,14,226,Bronze medal;Guilherme Phillipe Figueiredo,12,266,Honourable mention"
Barbados,17219.02,na
Brunei Darussalam,32337.27,na
Bhutan,1714.03,na
Botswana,5372.34,na
Central African Republic,388.48,na
Canada,44659.9,"Alexander Remorov,22,93,Silver medal;Yan Li,20,123,Bronze medal;Kent Wai Kit Huynh,19,133,Bronze medal;Steven Neil Karp,17,161,Bronze medal;Chengyue (Jarno) Sun,11,293,Honourable mention;Jonathan Timur Schneider,9,344,nan"
Central Europe and the Baltics,12009.68,na
Switzerland,64989.16,"Volodymyr Serbinenko,16,171,Bronze medal;Lucas Dahinden,12,266,Honourable mention;Stefan Wager,12,266,Honourable mention;Eben Freeman,9,344,Honourable mention;Raphael Steiner,5,440,nan;Dimitri Wyss,5,440,nan"
Channel Islands,75148.35,na
Chile,10456.83,"Cristobal Parraguez,2,464,nan;Roberto Villaflor,2,464,nan;Francisco Campos,0,506,nan;Sebastian Pacheco,0,506,nan"
China,2693.96,"Caili Shen,36,2,Gold medal;Lei Fu,30,19,Gold medal;Xuan Wang,30,19,Gold medal;Ben Yang,30,19,Gold medal;Tengyu Ma,28,40,Silver medal;Han Hu,27,55,Silver medal"
Ivory Coast,1451.23,na
Cameroon,1311.0,na
Democratic Republic of the Congo,277.61,na
"Congo, Rep.",2219.91,na
Colombia,4762.08,"Santiago Cuéllar,21,110,Silver medal;Federico Castillo,16,171,Bronze medal;Jorge Alberto Olarte,16,171,Bronze medal;José Alejandro Samper,16,171,Bronze medal;Miguel Acosta,13,254,nan;Diego Cifuentes,11,293,Honourable mention"
Comoros,1289.79,na
Cabo Verde,3268.31,na
Costa Rica,6055.09,"Daniel Campos Salas,19,133,Bronze medal;Karim Antonio Vindas Yassine,8,365,Honourable mention;Andrés Alonso Segura Medina,7,402,nan;Rafael Ángel Rodríguez Arguedas,2,464,nan;Daniel José Murillo Barrantes,0,506,nan"
Caribbean small states,9053.71,na
Cuba,4814.85,"Douglas Curbelo Aguilera,16,171,Bronze medal"
Curacao,,na
Cayman Islands,89960.68,na
Cyprus,31244.93,"Christos Anastassiades,13,254,Honourable mention;Giorgios Charalambous,13,254,Honourable mention;Marinos Efthymiou,7,402,nan;Michael Anastos,6,430,nan;Charis Dimitriou,2,464,nan;Theodoros Assiotis,0,506,nan"
Czechia,18466.55,na
Germany,41640.08,"Peter Scholze,36,2,Gold medal;Friedrich Feuerstein,24,68,Silver medal;Georg Schröter,24,68,Silver medal;Lisa Sauermann,22,93,Silver medal;Stephan Neupert,15,197,Bronze medal;Malte Lackmann,11,293,Honourable mention"
Djibouti,980.03,na
Dominica,6126.85,na
Denmark,58487.05,"Sune Kristian Jakobsen,19,133,Bronze medal;Niccolo Skovgård Poulsen,10,322,Honourable mention;Asger Kjærulff Jensen,9,344,Honourable mention;Henrik Tobias Madsen,8,365,Honourable mention;Henrik Jacobsen,3,454,nan;Mathias Rosdahl Jensen,1,482,nan"
Dominican Republic,4676.08,na
Algeria,3971.8,na
Ecuador,3579.03,"Qi Han,14,226,Bronze medal;Ronald Ma Lam,8,365,Honourable mention;Alfredo Sanchez,7,402,Honourable mention;Alex Lee,3,454,nan;Julio Rivera,2,464,nan;Pablo Serrano,0,506,nan"
Egypt,1586.47,na
Eritrea,450.41,na
Spain,32591.35,"Diego Bruno Izquierdo Arseguet,16,171,Bronze medal;Adrián Rodrigo Escudero,16,171,Bronze medal;Gabriel Fürstenheim Milerud,11,293,Honourable mention;Glenier Lázaro Bello Burguet,2,464,nan;Daniel Remón Rodríguez,2,464,nan;David Alfaya Sánchez,1,482,nan"
Estonia,16744.58,"Nikolai Voitsehhovski,16,171,Bronze medal;Toomas Krips,12,266,Honourable mention;Heiki Niglas,11,293,Honourable mention;Kaarel Nummert,10,322,nan;Rauno Siinmaa,8,365,Honourable mention;Kairi Kangro,7,402,Honourable mention"
