Country,GDP,info
Aruba,22050.59,N/A
Africa Eastern and Southern,818.12,N/A
Afghanistan,199.64,N/A
Africa Western and Central,697.85,N/A
Angola,982.81,N/A
Albania,1846.12,"Gjergji Zaimi,9,269,Honourable mention;Arlind Kopliku,6,339,nan;Eris Runa,5,346,nan;Ariel Apostoli,3,386,nan"
Andorra,31954.16,N/A
Arab World,2916.8,N/A
United Arab Emirates,32607.37,N/A
Argentina,3333.15,"Carlos di Fiore,29,29,Gold medal;Yue Yang,20,93,Silver medal;Pablo Dal Lago,15,163,Bronze medal;Lucas Rearte,14,179,Bronze medal;Alejandro Deymonnaz,12,211,Honourable mention;Lucas Andisco,1,427,nan"
Armenia,910.17,"Levon Haykazyan,15,163,Bronze medal;Levon Nurbekyan,15,163,Bronze medal;Avet Grigoryan,14,179,Bronze medal;Haik Sedrakyan,8,292,Honourable mention;Tigran Sloyan,7,320,Honourable mention;Vahe Musoyan,2,402,nan"
American Samoa,9043.68,N/A
Antigua and Barbuda,10968.89,N/A
Australia,23718.13,"Laurence Field,22,69,Silver medal;Daniel Nadasi,19,98,Silver medal;Ross Atkins,14,179,Bronze medal;Ivan Guo,14,179,Bronze medal;Zhihong Chen,12,211,Honourable mention;Marshall Ma,11,231,Honourable mention"
Austria,32294.05,"Markus Riegler,12,211,Honourable mention;Clemens Koppensteiner,11,231,Honourable mention;Stefan Takacs,7,320,Honourable mention;Jan Pöschko,3,386,nan;Michael Razen,3,386,nan;Thomas Takacs,2,402,nan"
Azerbaijan,883.69,"Javid Habibov,22,69,Silver medal;Tural Sadikov,13,197,Bronze medal;Khayal Musayev,12,211,Honourable mention;Tavakgul Mehraliyev,9,269,Honourable mention;Fuad Hamidli,8,292,Honourable mention;Farhad Aghayev,2,402,nan"
Burundi,114.37,N/A
Belgium,30655.21,"Cédric Troessaert,22,69,Silver medal;Antony Trinh,17,124,Bronze medal;Arne Smeets,10,247,Honourable mention;Dries Geebelen,8,292,Honourable mention;Timothée Marquis,8,292,Honourable mention;Bram Gaasbeek,5,346,nan"
Benin,698.41,N/A
Burkina Faso,363.82,N/A
Bangladesh,440.71,N/A
Bulgaria,2719.49,"Kaloyan Slavov,41,4,Gold medal;Rumen Zarev,40,5,Gold medal;Iliya Tsekov,38,6,Gold medal;Rosen Dimitrov Kralev,37,9,Gold medal;Aleksandar Dimitrov Lishkov,37,9,Gold medal;Dobromir Rahnev,34,19,Gold medal"
Bahrain,14230.3,N/A
The Bahamas,26204.88,N/A
